State;n1;n2;n3;n4;n5;n6;nSumm;    s1;    s2;    s3;    s4;    s5;    s6;
 1460; 0; 2; 0; 1; 0; 1;    4;  2.80;  1.90;  1.00;  1.70;  4.06;  0.40;
 1471; 0; 0; 1; 1; 0; 1;    3;  1.20;  1.00;  0.60;  0.80;  1.62;  0.30;
 1472; 1; 0; 1; 1; 0; 1;    4;  1.90;  1.90;  0.80;  1.70;  2.32;  0.40;
 1476; 0; 1; 1; 1; 0; 1;    4;  2.10;  1.60;  0.90;  1.40;  2.94;  0.40;
 1492; 0; 0; 2; 1; 0; 1;    4;  1.40;  1.30;  0.80;  1.10;  1.82;  0.40;
 1535; 0; 0; 0; 2; 0; 1;    3;  1.90;  1.30;  0.70;  0.90;  2.74;  0.30;
 1536; 1; 0; 0; 2; 0; 1;    4;  2.60;  2.20;  0.90;  1.80;  3.44;  0.40;
 1540; 0; 1; 0; 2; 0; 1;    4;  2.80;  1.90;  1.00;  1.50;  4.06;  0.40;
 1556; 0; 0; 1; 2; 0; 1;    4;  2.10;  1.60;  0.90;  1.20;  2.94;  0.40;
 1620; 0; 0; 0; 3; 0; 1;    4;  2.80;  1.90;  1.00;  1.30;  4.06;  0.40;
 1706; 0; 0; 0; 0; 1; 1;    2;  0.80;  1.42;  0.30;  1.42;  1.30;  0.20;
 1707; 1; 0; 0; 0; 1; 1;    3;  1.50;  2.32;  0.50;  2.32;  2.00;  0.30;
 1708; 2; 0; 0; 0; 1; 1;    4;  2.20;  3.22;  0.70;  3.22;  2.70;  0.40;
 1711; 0; 1; 0; 0; 1; 1;    3;  1.70;  2.02;  0.60;  2.02;  2.62;  0.30;
 1712; 1; 1; 0; 0; 1; 1;    4;  2.40;  2.92;  0.80;  2.92;  3.32;  0.40;
 1716; 0; 2; 0; 0; 1; 1;    4;  2.60;  2.62;  0.90;  2.62;  3.94;  0.40;
 1727; 0; 0; 1; 0; 1; 1;    3;  1.00;  1.72;  0.50;  1.72;  1.50;  0.30;
 1728; 1; 0; 1; 0; 1; 1;    4;  1.70;  2.62;  0.70;  2.62;  2.20;  0.40;
 1732; 0; 1; 1; 0; 1; 1;    4;  1.90;  2.32;  0.80;  2.32;  2.82;  0.40;
 1748; 0; 0; 2; 0; 1; 1;    4;  1.20;  2.02;  0.70;  2.02;  1.70;  0.40;
 1791; 0; 0; 0; 1; 1; 1;    3;  1.70;  2.02;  0.60;  1.82;  2.62;  0.30;
 1792; 1; 0; 0; 1; 1; 1;    4;  2.40;  2.92;  0.80;  2.72;  3.32;  0.40;
 1796; 0; 1; 0; 1; 1; 1;    4;  2.60;  2.62;  0.90;  2.42;  3.94;  0.40;
 1812; 0; 0; 1; 1; 1; 1;    4;  1.90;  2.32;  0.80;  2.12;  2.82;  0.40;
 1876; 0; 0; 0; 2; 1; 1;    4;  2.60;  2.62;  0.90;  2.22;  3.94;  0.40;
